み,見えない物を見ようとして望遠鏡を覗き込んだ,天体観測,BUMP OF CHICKEN
み,道、君と歩いた今日までかすかに動く唇,道,EXILE
ほ,ほらあなたにとって大事な人ほどすぐそばにいるの,小さな恋のうた,MONGOL800
ど,どんなに困難でくじけそうでも信じることさ必ず最後に愛は勝つ,愛は勝つ,KAN
き,君を守る為、その為に生まれてきたんだ,ライオンハート,SMAP
ぼ,僕が僕であるために勝ち続けなきゃならない。正しいものは何なのか。それがこの胸に解るまで,僕が僕であるために,尾崎豊
ま,負けないでもう少し、最後まで走り抜けて,負けないで,ZARD
ぼ,僕らは愛の花咲かそうよ青空ひまわりのように強く。小さな事でくよくよしてた昨日の僕にさよなら,Flower,KinKi Kids
め,巡り会えた時から魔法が解けない,TSUNAMI,サザンオールスターズ
な,何かにつまづいた時は空に手をかざしてみよう。この風はきっとどこかで君とつながっているから,星になれたら,Mr.Children
き,期待はずれの言葉を言うときに心の中ではガンバレって言っている。聞こえてほしいあなたにもガンバレ！,人にやさしく,ブルーハーツ
た,縦の糸はあなた、横の糸は私。織りなす布はいつか誰かをあたためうるかもかもしれない,糸,中島みゆき
